Station Name,Latitude,Longitude,EV Level2 EVSE Num
CSSRS - École Beaulieu,45.373527,-71.97222,2.0
Oak Grove Plantation Bed and Breakfast - Tesla Destination,36.611201,-78.929852,2.0
NS P4 - I,33.773136,-84.389259,2.0
Motel et Camping Etchemin - Tesla Destination,46.762416,-71.216618,3.0
CORP COMM 3 STATION 3 CC3,40.604086,-74.179358,2.0
"FOX STUDIO LOT 100, P1:141-142",34.05213,-118.411263,2.0
The Kahala Hotel & Resort location,21.271847,-157.773651,2.0
Don Wheaton Chevrolet,53.517704,-113.507252,2.0
HGT CANDIAC TOYCAN O2,45.392749,-73.51553,2.0
ARCHIPELAGO STATION4,43.082692,-89.372141,2.0
GEORGIA POWER SUNTRUST L2 4,33.891965,-84.465963,2.0
1500 Orchard Street Apartments,47.246926,-122.506272,2.0
EVERGY @WALMART -068C,39.045255,-94.444495,2.0
Hawthorn Center,39.207199,-76.883777,1.0
University of Pittsburgh Medical Center - Shadyside South Aiken Garage,40.455031,-79.938253,2.0
APPLE TA16 B3 19,37.33335,-122.004598,2.0
SOUTH WIND SWM STATION 1,39.943294,-82.997464,2.0
Sunshine Chevrolet,35.480846,-82.564542,2.0
SWCC CV A03 - A04,32.641906,-116.999595,2.0
Kimpton Morrison House - Tesla Destination,38.804636,-77.049262,2.0
CitySSF_MillerGarage_SSF_S,37.656204,-122.411246,13.0
Mystic Diner Restaurant - Tesla Destination,41.373677,-71.960566,1.0
Hotel Jackson - Tesla Destination,43.480685,-110.763383,3.0
GWCC GWCC MBS NGW2,33.755595,-84.398616,2.0
CITY OF SLO LOT 4 09,35.278899,-120.660969,2.0
City of Independence - North Parking,44.849101,-123.184061,3.0
Kohl's Thousand Oaks,34.182716,-118.9222515,2.0
81 EXPRESS WEST ONE(SMALL),40.175803,-97.575554,2.0
SCCOA EVS1-13,37.383058,-121.98091,2.0
Fairmont Miramar Hotel & Bungalows - Tesla Destination,34.01765,-118.501217,4.0
LADWP - Pacific,33.723761,-118.28779,1.0
